3 328
0.8307692307692308 1.0 
9 734
0.8461538461538461 0.8461538461538461 0.8461538461538461 0.8769230769230769 0.8769230769230769 0.8769230769230769 0.8769230769230769 1.0 
13 679
0.8461538461538461 0.8461538461538461 0.8461538461538461 0.8461538461538461 0.8461538461538461 0.8461538461538461 0.8923076923076924 0.8923076923076924 0.8923076923076924 0.8923076923076924 0.8923076923076924 1.0 
6 278
0.8307692307692308 0.8461538461538461 0.8461538461538461 0.8461538461538461 1.0 
7 326
0.8307692307692308 0.8461538461538461 0.9384615384615385 0.9384615384615385 0.9384615384615385 1.0 
