9 827
0.615230769230769 0.6447076923076946 0.6766615384615389 0.7513538461538434 0.8173846153846097 0.8264615384615324 0.8274461538461468 0.8315384615384531 
5 284
0.6132000000000001 0.6458307692307701 0.681415384615385 0.7174923076923043 
108 4496
0.617707692307693 0.6327846153846163 0.6728923076923073 0.7256923076923041 0.786999999999995 0.8332769230769091 0.8663538461538274 0.8654923076922889 0.8604615384615202 0.8647846153845975 0.8626923076922893 0.8662923076922892 0.8651692307692125 0.866907692307674 0.8678923076922895 0.863646153846135 0.8690461538461347 0.8652461538461353 0.8639076923076737 0.8665692307692118 0.8662307692307507 0.8662307692307507 0.8613538461538277 0.865184615384597 0.8683846153845971 0.8597076923076745 0.8631384615384436 0.864338461538443 0.8640923076922894 0.8632615384615202 0.8613999999999817 0.8653846153845969 0.8655076923076742 0.8639230769230584 0.8658615384615198 0.8662461538461353 0.8620461538461355 0.8626923076922891 0.8615384615384433 0.8667538461538277 0.8658307692307505 0.8651692307692118 0.8603538461538279 0.8623999999999822 0.8652769230769046 0.864338461538443 0.8636923076922894 0.861876923076905 0.8658153846153659 0.8673538461538278 0.866738461538443 0.863384615384597 0.8629076923076738 0.8664307692307508 0.8657846153845968 0.864584615384597 0.8629999999999813 0.8654153846153664 0.8669384615384427 0.8621538461538278 0.8700923076922887 0.8669076923076738 0.8677538461538273 0.8652923076922896 0.8669384615384428 0.8629230769230585 0.8639846153845971 0.8665076923076737 0.8665538461538275 0.8653692307692122 0.8655999999999815 0.8638923076922892 0.8648923076922892 0.863984615384597 0.8643538461538279 0.8654461538461355 0.8680615384615196 0.8619230769230589 0.8632461538461357 0.8674923076922891 0.8639692307692125 0.8675076923076738 0.8636923076922892 0.864030769230751 0.864892307692289 0.8688923076922886 0.8655538461538275 0.8629692307692126 0.8635538461538278 0.8659384615384432 0.8667999999999811 0.8630307692307511 0.8647692307692123 0.8622923076922893 0.8627538461538281 0.8598153846153666 0.8634307692307508 0.8662461538461355 0.8639538461538283 0.8609384615384436 0.8636923076922896 0.8640307692307508 0.8632153846153665 0.8632153846153663 0.860523076923059 0.8620461538461356 0.8663999999999813 
3 67
0.6158153846153848 0.645815384615386 
6 179
0.6250769230769234 0.6490615384615406 0.6857538461538462 0.7175384615384609 0.7144461538461522 
